,category,subcategory,brand,name,MRP,SP,discount
0,Staples,Atta & Other flours,N/A,Aashirvaad Atta -Whole Wheat - 5 Kg,213,170,20
1,Staples,Atta & Other flours,N/A,Aashirvaad Atta Select - Sharbati - 5 Kg,285,245,14
2,Staples,Atta & Other flours,N/A,Aashirvaad Atta - Multigrains - 5 Kg,310,279,10
3,Staples,Atta & Other flours,N/A,Tata Sampann Besan - Low oil Absorb - 500 Grm,62,60,3
4,Staples,Atta & Other flours,N/A,Patanjali Wheat Dalia - 500 Gms,35,35,0
5,Staples,Atta & Other flours,N/A,Patanjali Aarogya Wheat Dalia - 500 Gms,25,25,0
6,Staples,Atta & Other flours,N/A,Besan (Loose) - 500 Gms,40,35,13
7,Staples,Atta & Other flours,N/A,Maida (Loose) - 500 Gms,18,16,11
8,Staples,Atta & Other flours,N/A,Sooji - 500 Gms,32,29,9
9,Staples,Atta & Other flours,N/A,24 MANTRA ATTA - 1KG,105,96,9
10,Staples,Atta & Other flours,N/A,24 MANTRA BAJRA FLOUR - 500 Gms,55,53,4
11,Staples,Atta & Other flours,N/A,24 MANTRA BESAN Flour (Gram Flour) - 500 Gms,85,80,6
12,Staples,Atta & Other flours,N/A,24 MANTRA CORN FLOUR - 500 Gms,55,52,5
13,Staples,Atta & Other flours,N/A,24 MANTRA JOWAR FLOUR - 500 Gms,70,65,7
14,Staples,Atta & Other flours,N/A,Fortune atta - 5 Kg,195,192,2
15,Staples,Atta & Other flours,N/A,Fortune besan - 200 Gms,25,22,12
16,Staples,Atta & Other flours,N/A,Fortune maida - 500 Gms,36,33,8
17,Staples,Atta & Other flours,N/A,Fortune suji - 500 Gms,36,33,8
18,Staples,Atta & Other flours,N/A,Ganesh atta - 10 Kg,403,300,26
19,Staples,Atta & Other flours,N/A,Ganesh gold suji - 500 Gms,27,24,11
20,Staples,Dals & Pulses,N/A,Tata Sampann Moong Dal - 1 kg,180,175,3
21,Staples,Dals & Pulses,N/A,Tata Sampann Chana Dal - 1 Kg,118,113,4
22,Staples,Dals & Pulses,N/A,Green Whole Moong (Loose) - 1 Kg,109,94,14
23,Staples,Dals & Pulses,N/A,Tata Sampann Kala Chana - 1 Kg,120,117,3
24,Staples,Dals & Pulses,N/A,Tata Sampann Urad Whole - 1 Kg,190,188,1
25,Staples,Dals & Pulses,N/A,"Tata Sampann Unpolished Rajma, - 500 Gms",101,98,3
26,Staples,Dals & Pulses,N/A,Urad Dal (Loose) - 1 Kg,133,125,6
27,Staples,Dals & Pulses,N/A,White Rajma - 500 Gms,85,75,12
28,Staples,Dals & Pulses,N/A,Rajma Red - 500 Gms,75,69,8
29,Staples,Dals & Pulses,N/A,24 MANTRA BROWN CHANA - 500 Gms,86,80,7
30,Staples,Dals & Pulses,N/A,24 MANTRA FLAX SEEDS - 200 Gms,65,62,5
31,Staples,Dals & Pulses,N/A,24 MANTRA GREEN MOONG GOTA - 500 Gms,125,120,4
32,Staples,Dals & Pulses,N/A,24 MANTRA KABULI CHANA - 500 Gms,110,105,5
33,Staples,Dals & Pulses,N/A,24 MANTRA MASOOR DAL - 500 Gms,95,92,3
34,Staples,Dals & Pulses,N/A,24 MANTRA MOONG DAL - 500 Gms,85,82,4
35,Staples,Dals & Pulses,N/A,24 MANTRA TUR DAL - 500 Gms,130,125,4
36,Staples,Dals & Pulses,N/A,24 MANTRA URAD WHITE - 500G,135,130,4
37,Staples,Dals & Pulses,N/A,24 MANTRA URAD WHITE GOTA - 500 Gms,145,140,3
38,Staples,Dals & Pulses,N/A,24 ORGANIC URAD DAL BLACK SPLIT - 500 Gms,125,119,5
39,Staples,Dals & Pulses,N/A,24 MATRA PANCHARATAN DAL - 500 Gms,130,125,4
40,Staples,Dry Fruits & Nuts,N/A,Date crown fard - 500 Gms,234,231,1
41,Staples,Dry Fruits & Nuts,N/A,Peanut (Badam) Red - 1Kg,120,110,8
42,Staples,Dry Fruits & Nuts,N/A,Kaju Jumbo - 250 Gms,250,245,2
43,Staples,Dry Fruits & Nuts,N/A,Almond (Badam ) - Gauri - 250 gm,199,185,7
44,Staples,Dry Fruits & Nuts,N/A,LION DESERT KING DATES - 200 Gms,236,230,3
45,Staples,Dry Fruits & Nuts,N/A,Red Peanut - 1 Kg,120,115,4
46,Staples,Dry Fruits & Nuts,N/A,Special Walnut - 250 Gms,450,250,44
47,Staples,Dry Fruits & Nuts,N/A,Badam Giri Gauri - 250Gms,190,179,6
48,Staples,Dry Fruits & Nuts,N/A,Makhana - 1 Pkt (250 Grm),200,195,3
49,Staples,Masala,N/A,Dhaniya Gota - 50 Gm,10,10,0
50,Staples,Masala,N/A,Tata Sampann Chilli Powder - 200 Gms,84,80,5
51,Staples,Masala,N/A,Tata Sampann Coriander Powder Masala - 200 Gms,65,62,5
52,Staples,Masala,N/A,Chings Schezwan Fried Rice Masala - 20 Gms,10,10,0
53,Staples,Masala,N/A,Ching's - Paneer Chilli Masala - 20 Gms (Pack of 2),20,20,0
54,Staples,Masala,N/A,Ching's - Chicken 65 Masala - 20 Gms (pack of 2),20,20,0
55,Staples,Masala,N/A,Everest Black Papper Powder - 50 Gms,70,67,4
56,Staples,Masala,N/A,Everest Chaat Masala - 50 Gms,35,32,9
57,Staples,Masala,N/A,Everest Chhole Masala - 50 Gms,35,33,6
58,Staples,Masala,N/A,Everest Dry Mango Powder - 50 Gms,40,37,8
