,category,subcategory,brand,name,MRP,SP,discount
0,Staples,"Atta, Flours & Sooji",PRIVATE LABEL,Atta Dal Rice Combo - Chakki Atta 5 kg + Toor Dal 2 kg + Surti Kolam Rice 2 kg,600.0,471.0,21
1,Staples,"Atta, Flours & Sooji",AASHIRVAAD,Aashirvaad Whole Wheat Atta 1 kg,52.0,48.36,7
2,Staples,"Atta, Flours & Sooji",GOOD LIFE,Good Life MP Wheat Chakki Atta 1 kg,50.0,39.0,22
3,Staples,"Atta, Flours & Sooji",NATURE FRESH,Nature Fresh Sampoorna Chakki Whole Wheat Atta 10 kg,450.0,345.0,23
4,Staples,"Atta, Flours & Sooji",UTTAM,Uttam Rawa / Sooji 1 kg,60.0,49.0,18
5,Staples,"Atta, Flours & Sooji",AASHIRVAAD,Aashirvaad Whole Wheat Atta 2 kg,102.0,94.86,7
6,Staples,"Atta, Flours & Sooji",FORTUNE,Fortune Chakki Fresh Atta 5 kg,211.0,169.0,19
7,Staples,"Atta, Flours & Sooji",MADAM,Madam Rawa 500 g,37.0,34.41,7
8,Staples,"Atta, Flours & Sooji",GOOD LIFE,Good Life Rice Flour / Atta 500 g,25.0,22.0,12
9,Staples,"Atta, Flours & Sooji",UTTAM,Uttam Wheat's Daliya 500 g,32.0,28.0,12
10,Staples,"Atta, Flours & Sooji",PRIVATE LABEL,Besan 1 kg,160.0,74.0,53
11,Staples,"Atta, Flours & Sooji",PRIVATE LABEL,Besan 500 g,80.0,37.0,53
12,Staples,"Atta, Flours & Sooji",PRIVATE LABEL,Rawa 1 kg,86.0,38.0,55
13,Staples,"Atta, Flours & Sooji",PATANJALI,Patanjali Traditional Chakki Whole Wheat With Bran Atta 10 kg,350.0,325.5,7
14,Staples,"Atta, Flours & Sooji",MADAM,Madam Rice Atta / Flour 500 g,35.0,32.55,7
15,Staples,"Atta, Flours & Sooji",GAAY CHHAP,Gaay Chhap Maraiyo / Varai 500 g,78.0,72.54,7
16,Staples,"Atta, Flours & Sooji",MADAM,Madam Besan 500 g,65.0,55.0,15
17,Staples,"Atta, Flours & Sooji",GOOD LIFE,Good Life Rice Atta / Flour 1 kg,45.0,39.0,13
18,Staples,"Atta, Flours & Sooji",PRIVATE LABEL,Rawa 500 g,43.0,20.0,53
19,Staples,"Atta, Flours & Sooji",GAAY,Gaay Rice Flour 500 g,25.0,23.25,7
20,Staples,Dals & Pulses,GOOD LIFE,Good Life Kabuli Chana 500 g,83.0,66.0,20
21,Staples,Dals & Pulses,TATA SAMPANN,Tata Sampann High Protein Unpolished Tur / Arhar Dal 1 kg,189.0,144.0,23
22,Staples,Dals & Pulses,GOOD LIFE,Good Life Moong Dal 500 g,79.0,66.0,16
23,Staples,Dals & Pulses,GOOD LIFE,Good Life Moong Dal 1 kg,156.0,129.0,17
24,Staples,Dals & Pulses,GOOD LIFE,Good Life Kabuli Chana 1 kg,163.0,129.0,20
25,Staples,Dals & Pulses,GOOD LIFE,Good Life Masoor Dal 500 g,67.0,51.0,23
26,Staples,Dals & Pulses,TATA SAMPANN,Tata Sampann High Protein Unpolished Chana Dal 500 g,64.0,59.52,7
27,Staples,Dals & Pulses,GOOD LIFE,Good Life Chilka Urad Dal 500 g,79.0,75.0,5
28,Staples,Dals & Pulses,GOOD LIFE,Good Life Chilka Moong Dal 500 g,78.0,61.0,21
29,Staples,Dals & Pulses,GOOD LIFE,Good Life Red Rajma 500 g,79.0,70.0,11
30,Staples,Dals & Pulses,TATA SAMPANN,Tata Sampann High Protein Green Whole Moong 500 g,89.0,69.0,22
31,Staples,Dals & Pulses,GOOD LIFE,Good Life Dal Mix 500 g,75.0,69.0,8
32,Staples,Dals & Pulses,BEST FARMS,Best Farms White Lobia / Chawli 500 g,94.0,80.0,14
33,Staples,Dals & Pulses,FORTUNE,Fortune Soya Wadi / Chunks 200 g,50.0,46.5,7
34,Staples,Dals & Pulses,TATA SAMPANN,Tata Sampann High Protein Unpolished Moong Dal 1 kg,185.0,172.05,7
35,Staples,Dals & Pulses,GOOD LIFE,Good Life Dry White Peas 500 g,104.0,90.0,13
36,Staples,Dals & Pulses,GOOD LIFE,Good Life Whole Masoor 500 g,65.0,51.0,21
37,Staples,Dals & Pulses,GOOD LIFE,Good Life Chilka Moong Dal 1 kg,153.0,119.0,22
38,Staples,Dals & Pulses,GOOD LIFE,Good Life Whole Urad 500 g,79.0,73.0,7
39,Staples,Dals & Pulses,GOOD LIFE,Good Life Roasted Skin Chana 500 g,110.0,55.0,50
